between_group_minimum_distance,cell_id,cell_index,complete_linkage_valid,group_count,group_id,ordered_members_json,source_run_id,source_stage,tolerance,tolerance_denominator,tolerance_numerator,transfer_execution_mode,within_group_maximum_distance,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
,s0-step9050-f4of5-d1of2,110,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.046168051708217916,stage18-scaling-24a9adb84176,0,7,9050,110
,s0-step9050-f4of5-d3of4,111,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.046168051708217916,stage18-scaling-24a9adb84176,0,7,9050,111
,s0-step9050-f17of20-d1of4,112,True,1,G01,"[""C1"",""C2"",""C3"",""C4""]",,,0.05,20,1,fresh_execution,0.014030612244897878,stage18-scaling-24a9adb84176,0,7,9050,112
,s0-step9050-f17of20-d1of2,113,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.022160664819944498,stage18-scaling-24a9adb84176,0,7,9050,113
,s0-step9050-f17of20-d3of4,114,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.022160664819944498,stage18-scaling-24a9adb84176,0,7,9050,114
0.0329332102185288,s0-step9050-f9of10-d1of4,115,True,2,G01,"[""C1"",""C2"",""C3"",""C4"",""C5""]",,,0.05,20,1,fresh_execution,0.041859033548784175,stage18-scaling-24a9adb84176,0,7,9050,115
0.0329332102185288,s0-step9050-f9of10-d1of4,115,True,2,G02,"[""C6""]",,,0.05,20,1,fresh_execution,0.0,stage18-scaling-24a9adb84176,0,7,9050,115
0.0329332102185288,s0-step9050-f9of10-d1of2,116,True,2,G01,"[""C1"",""C2"",""C3"",""C4"",""C5""]",,,0.05,20,1,fresh_execution,0.041859033548784175,stage18-scaling-24a9adb84176,0,7,9050,116
0.0329332102185288,s0-step9050-f9of10-d1of2,116,True,2,G02,"[""C6""]",,,0.05,20,1,fresh_execution,0.0,stage18-scaling-24a9adb84176,0,7,9050,116
0.0329332102185288,s0-step9050-f9of10-d3of4,117,True,2,G01,"[""C1"",""C2"",""C3"",""C4"",""C5""]",,,0.05,20,1,fresh_execution,0.041859033548784175,stage18-scaling-24a9adb84176,0,7,9050,117
0.0329332102185288,s0-step9050-f9of10-d3of4,117,True,2,G02,"[""C6""]",,,0.05,20,1,fresh_execution,0.0,stage18-scaling-24a9adb84176,0,7,9050,117
,s0-step9050-f19of20-d1of4,118,True,1,G01,"[""C1"",""C2"",""C3"",""C4""]",,,0.05,20,1,fresh_execution,0.019770408163265363,stage18-scaling-24a9adb84176,0,7,9050,118
,s0-step9050-f19of20-d1of2,119,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.019770408163265363,stage18-scaling-24a9adb84176,0,7,9050,119
,s0-step9050-f19of20-d3of4,120,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.019770408163265363,stage18-scaling-24a9adb84176,0,7,9050,120
,s0-step9050-f39of40-d1of4,121,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.009085213032581474,stage18-scaling-24a9adb84176,0,7,9050,121
,s0-step9050-f39of40-d1of2,122,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.009085213032581474,stage18-scaling-24a9adb84176,0,7,9050,122
,s0-step9050-f39of40-d3of4,123,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.009085213032581474,stage18-scaling-24a9adb84176,0,7,9050,123
,s0-step9050-f99of100-d1of4,124,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5""]",,,0.05,20,1,fresh_execution,0.004145408163265363,stage18-scaling-24a9adb84176,0,7,9050,124
,s0-step9050-f99of100-d1of2,125,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.004309018159433631,stage18-scaling-24a9adb84176,0,7,9050,125
