stage17_run_id,cell_index,cell_id,circuit_i,circuit_j,q1_absolute_difference,q2_absolute_difference,q3_absolute_difference,q4_absolute_difference,maximum_absolute_difference,maximum_distance_subset,same_primary_transfer_group
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,C2,C6,0.0033856571252692813,0.007518796992481147,0.005952380952381042,0.010204081632653073,0.010204081632653073,Q4,True
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,C2,C7,0.007386888273314796,0.0006265664160400863,0.0028195488721803885,0.008290816326530615,0.008290816326530615,Q4,True
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,C3,C4,0.001231148045552466,0.0009398496240601295,0.0015664160401003269,0.0003188775510204467,0.0015664160401003269,Q3,True
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,C3,C5,0.009541397353031722,0.005952380952380931,0.003759398496240629,0.0006377551020407823,0.009541397353031722,Q1,True
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,C3,C6,0.001846722068328699,0.005639097744360888,0.009085213032581474,0.01721938775510201,0.01721938775510201,Q4,True
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,C3,C7,0.0021545090797168154,0.0012531328320801727,0.00031328320802004317,0.0012755102040816757,0.0021545090797168154,Q1,True
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,C4,C5,0.010772545398584188,0.005012531328320802,0.002192982456140302,0.000956632653061229,0.010772545398584188,Q1,True
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,C4,C6,0.003077870113881165,0.006578947368421018,0.0106516290726818,0.017538265306122458,0.017538265306122458,Q4,True
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,C4,C7,0.0009233610341643494,0.00031328320802004317,0.00187969924812037,0.000956632653061229,0.00187969924812037,Q3,True
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,C5,C6,0.007694675284703023,0.01159147869674182,0.012844611528822103,0.01658163265306123,0.01658163265306123,Q4,True
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,C5,C7,0.011695906432748537,0.0046992481203007586,0.004072681704260672,0.001913265306122458,0.011695906432748537,Q1,True
stage17-sensitivity-s1-7801e7938531,12,s1-step9050-f19of20-d3of4,C6,C7,0.004001231148045514,0.006892230576441061,0.00877192982456143,0.018494897959183687,0.018494897959183687,Q4,True
stage17-sensitivity-s1-7801e7938531,13,s1-step9050-f39of40-d1of4,C1,C2,0.0,0.0025062656641604564,0.0,0.002869897959183687,0.002869897959183687,Q4,True
stage17-sensitivity-s1-7801e7938531,13,s1-step9050-f39of40-d1of4,C1,C3,0.004001231148045514,0.0028195488721804995,0.0012531328320802837,0.008928571428571397,0.008928571428571397,Q4,True
stage17-sensitivity-s1-7801e7938531,13,s1-step9050-f39of40-d1of4,C1,C4,0.002462296091104932,0.004385964912280715,0.00187969924812037,0.003826530612244916,0.004385964912280715,Q2,True
stage17-sensitivity-s1-7801e7938531,13,s1-step9050-f39of40-d1of4,C2,C3,0.004001231148045514,0.00031328320802004317,0.0012531328320802837,0.00605867346938771,0.00605867346938771,Q4,True
