stage17_run_id,cell_index,cell_id,requested_member_index,member_label,accepted_circuit,representative_restart_index,primary_fidelity,retained_component_count,retained_component_proportion,maximum_prior_overlap_numerator,maximum_prior_overlap_denominator,maximum_prior_overlap,mean_prior_overlap,cumulative_exact_evaluations,member_exact_evaluations,member_ranking_passes,restart_count,status,failure_reason,family_right_censored,search_execution_mode
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,3,C3,True,0,0.9751742501370507,151,0.2926356589147287,37,233,0.15879828326180256,0.13473511001034794,19280,6263,366,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,4,C4,True,0,0.9750176208003759,150,0.29069767441860467,23,117,0.19658119658119658,0.18778099260589534,25670,6390,367,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,5,C5,True,0,0.9750959354687133,145,0.2810077519379845,53,211,0.25118483412322273,0.18151484051251907,32087,6417,372,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,6,C6,True,0,0.9750176208003759,134,0.2596899224806202,59,194,0.30412371134020616,0.20484220888349594,38765,6678,383,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,7,C7,True,0,0.9750176208003759,138,0.26744186046511625,59,198,0.29797979797979796,0.21927797749133626,45111,6346,379,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,15,s1-step9050-f39of40-d3of4,8,C8,False,0,0.9908371838045266,211,,17,72,0.2361111111111111,,50000,4889,306,1,budget_exhaustion,requested_member_8_budget_exhaustion,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,16,s1-step9050-f99of100-d1of4,1,C1,True,0,0.9900540371211528,146,0.28294573643410853,0,1,0.0,,6098,6098,371,1,accepted,,False,reference_existing_result
stage17-sensitivity-s1-7801e7938531,16,s1-step9050-f99of100-d1of4,2,C2,True,0,0.9900540371211528,162,0.313953488372093,19,289,0.0657439446366782,0.0657439446366782,12148,6050,355,1,accepted,,False,reference_existing_result
stage17-sensitivity-s1-7801e7938531,16,s1-step9050-f99of100-d1of4,3,C3,True,0,0.9901323517894902,176,0.34108527131782945,27,134,0.20149253731343283,0.15666732128829536,18292,6144,341,1,accepted,,False,reference_existing_result
stage17-sensitivity-s1-7801e7938531,16,s1-step9050-f99of100-d1of4,4,C4,False,1,0.9982770772965777,292,,43,176,0.24431818181818182,,28292,10000,580,2,budget_exhaustion,requested_member_4_budget_exhaustion,False,reference_existing_result
