cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,circuit_count,minimum_retained_components,maximum_retained_components,mean_retained_components,median_retained_components,minimum_retained_proportion,maximum_retained_proportion,mean_retained_proportion,median_retained_proportion,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
96,s0-step8650-f17of20-d3of4,17,20,0.850,3,4,0.75,6,44,48,46,46.0,0.08527131782945736,0.09302325581395349,0.08914728682170543,0.08914728682170543,stage18-scaling-24a9adb84176,0,6,8650,96
97,s0-step8650-f9of10-d1of4,9,10,0.900,1,4,0.25,6,48,51,49,48.0,0.09302325581395349,0.09883720930232558,0.09496124031007752,0.09302325581395349,stage18-scaling-24a9adb84176,0,6,8650,97
98,s0-step8650-f9of10-d1of2,9,10,0.900,1,2,0.50,6,48,51,49,48.0,0.09302325581395349,0.09883720930232558,0.09496124031007752,0.09302325581395349,stage18-scaling-24a9adb84176,0,6,8650,98
99,s0-step8650-f9of10-d3of4,9,10,0.900,3,4,0.75,6,48,51,49,48.0,0.09302325581395349,0.09883720930232558,0.09496124031007752,0.09302325581395349,stage18-scaling-24a9adb84176,0,6,8650,99
100,s0-step8650-f19of20-d1of4,19,20,0.950,1,4,0.25,6,53,59,56.5,57.5,0.10271317829457365,0.11434108527131782,0.10949612403100775,0.11143410852713179,stage18-scaling-24a9adb84176,0,6,8650,100
101,s0-step8650-f19of20-d1of2,19,20,0.950,1,2,0.50,6,53,59,56.5,57.5,0.10271317829457365,0.11434108527131782,0.10949612403100775,0.11143410852713179,stage18-scaling-24a9adb84176,0,6,8650,101
102,s0-step8650-f19of20-d3of4,19,20,0.950,3,4,0.75,6,53,59,56.5,57.5,0.10271317829457365,0.11434108527131782,0.10949612403100775,0.11143410852713179,stage18-scaling-24a9adb84176,0,6,8650,102
103,s0-step8650-f39of40-d1of4,39,40,0.975,1,4,0.25,6,62,65,63.166666666666664,62.5,0.12015503875968993,0.12596899224806202,0.12241602067183463,0.12112403100775193,stage18-scaling-24a9adb84176,0,6,8650,103
104,s0-step8650-f39of40-d1of2,39,40,0.975,1,2,0.50,6,62,65,63.166666666666664,62.5,0.12015503875968993,0.12596899224806202,0.12241602067183463,0.12112403100775193,stage18-scaling-24a9adb84176,0,6,8650,104
105,s0-step8650-f39of40-d3of4,39,40,0.975,3,4,0.75,6,62,65,63.166666666666664,62.5,0.12015503875968993,0.12596899224806202,0.12241602067183463,0.12112403100775193,stage18-scaling-24a9adb84176,0,6,8650,105
106,s0-step8650-f99of100-d1of4,99,100,0.990,1,4,0.25,6,70,79,74,74.0,0.13565891472868216,0.15310077519379844,0.1434108527131783,0.1434108527131783,stage18-scaling-24a9adb84176,0,6,8650,106
107,s0-step8650-f99of100-d1of2,99,100,0.990,1,2,0.50,6,70,79,74,74.0,0.13565891472868216,0.15310077519379844,0.1434108527131783,0.1434108527131783,stage18-scaling-24a9adb84176,0,6,8650,107
108,s0-step8650-f99of100-d3of4,99,100,0.990,3,4,0.75,6,70,79,74,74.0,0.13565891472868216,0.15310077519379844,0.1434108527131783,0.1434108527131783,stage18-scaling-24a9adb84176,0,6,8650,108
109,s0-step9050-f4of5-d1of4,4,5,0.800,1,4,0.25,3,45,50,48,49,0.0872093023255814,0.09689922480620156,0.09302325581395349,0.09496124031007752,stage18-scaling-24a9adb84176,0,7,9050,109
110,s0-step9050-f4of5-d1of2,4,5,0.800,1,2,0.50,6,45,50,48,48.5,0.0872093023255814,0.09689922480620156,0.09302325581395349,0.0939922480620155,stage18-scaling-24a9adb84176,0,7,9050,110
111,s0-step9050-f4of5-d3of4,4,5,0.800,3,4,0.75,6,45,50,48,48.5,0.0872093023255814,0.09689922480620156,0.09302325581395349,0.0939922480620155,stage18-scaling-24a9adb84176,0,7,9050,111
112,s0-step9050-f17of20-d1of4,17,20,0.850,1,4,0.25,4,47,53,51.25,52.5,0.09108527131782945,0.10271317829457365,0.09932170542635659,0.10174418604651163,stage18-scaling-24a9adb84176,0,7,9050,112
113,s0-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,6,47,55,51.833333333333336,52.5,0.09108527131782945,0.1065891472868217,0.10045219638242894,0.10174418604651163,stage18-scaling-24a9adb84176,0,7,9050,113
114,s0-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,6,47,55,51.833333333333336,52.5,0.09108527131782945,0.1065891472868217,0.10045219638242894,0.10174418604651163,stage18-scaling-24a9adb84176,0,7,9050,114
115,s0-step9050-f9of10-d1of4,9,10,0.900,1,4,0.25,6,51,58,54.666666666666664,55.5,0.09883720930232558,0.1124031007751938,0.10594315245478036,0.10755813953488372,stage18-scaling-24a9adb84176,0,7,9050,115
116,s0-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,6,51,58,54.666666666666664,55.5,0.09883720930232558,0.1124031007751938,0.10594315245478036,0.10755813953488372,stage18-scaling-24a9adb84176,0,7,9050,116
117,s0-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,6,51,58,54.666666666666664,55.5,0.09883720930232558,0.1124031007751938,0.10594315245478036,0.10755813953488372,stage18-scaling-24a9adb84176,0,7,9050,117
