stage18_run_id,global_cell_index,cell_id,model_seed,checkpoint_index,checkpoint_step,displayed_fidelity,displayed_jaccard_cutoff,primary_cell,family_size,empty_family,singleton_family,right_censored,search_status,stopping_reason,search_execution_mode,analysis_role,unavailable_control,included_in_stage19_universe
stage18-scaling-24a9adb84176,98,s0-step8650-f9of10-d1of2,0,6,8650,0.900,0.50,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,99,s0-step8650-f9of10-d3of4,0,6,8650,0.900,0.75,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,100,s0-step8650-f19of20-d1of4,0,6,8650,0.950,0.25,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,101,s0-step8650-f19of20-d1of2,0,6,8650,0.950,0.50,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,102,s0-step8650-f19of20-d3of4,0,6,8650,0.950,0.75,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,103,s0-step8650-f39of40-d1of4,0,6,8650,0.975,0.25,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,104,s0-step8650-f39of40-d1of2,0,6,8650,0.975,0.50,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,105,s0-step8650-f39of40-d3of4,0,6,8650,0.975,0.75,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,106,s0-step8650-f99of100-d1of4,0,6,8650,0.990,0.25,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,107,s0-step8650-f99of100-d1of2,0,6,8650,0.990,0.50,True,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,primary_checkpoint_matching_and_sensitivity,False,True
stage18-scaling-24a9adb84176,108,s0-step8650-f99of100-d3of4,0,6,8650,0.990,0.75,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,109,s0-step9050-f4of5-d1of4,0,7,9050,0.800,0.25,False,3,False,False,False,budget_exhaustion,requested_member_4_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,110,s0-step9050-f4of5-d1of2,0,7,9050,0.800,0.50,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,111,s0-step9050-f4of5-d3of4,0,7,9050,0.800,0.75,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,112,s0-step9050-f17of20-d1of4,0,7,9050,0.850,0.25,False,4,False,False,False,budget_exhaustion,requested_member_5_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,113,s0-step9050-f17of20-d1of2,0,7,9050,0.850,0.50,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,114,s0-step9050-f17of20-d3of4,0,7,9050,0.850,0.75,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,115,s0-step9050-f9of10-d1of4,0,7,9050,0.900,0.25,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,116,s0-step9050-f9of10-d1of2,0,7,9050,0.900,0.50,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,117,s0-step9050-f9of10-d3of4,0,7,9050,0.900,0.75,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,118,s0-step9050-f19of20-d1of4,0,7,9050,0.950,0.25,False,4,False,False,False,budget_exhaustion,requested_member_5_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,119,s0-step9050-f19of20-d1of2,0,7,9050,0.950,0.50,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,120,s0-step9050-f19of20-d3of4,0,7,9050,0.950,0.75,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,121,s0-step9050-f39of40-d1of4,0,7,9050,0.975,0.25,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,122,s0-step9050-f39of40-d1of2,0,7,9050,0.975,0.50,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
