record_type,cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,family_size,c1_qualified,failed_requested_member_count,terminal_requested_member_index,stopping_reason,failure_category,budget_exhausted,per_cell_evaluations_used,unused_budget,ranking_passes,restart_count,invalid_output_count,search_execution_mode,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
cell,58,s0-step8150-f17of20-d1of4,17,20,0.850,1,4,0.25,3,True,1,4,requested_member_4_budget_exhaustion,budget_exhaustion,True,32503,17497,2023,5,0,fresh_execution,stage18-scaling-24a9adb84176,0,4,8150,58
cell,59,s0-step8150-f17of20-d1of2,17,20,0.850,1,2,0.50,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3112,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,4,8150,59
cell,60,s0-step8150-f17of20-d3of4,17,20,0.850,3,4,0.75,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3112,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,4,8150,60
cell,61,s0-step8150-f9of10-d1of4,9,10,0.900,1,4,0.25,3,True,1,4,requested_member_4_budget_exhaustion,budget_exhaustion,True,32293,17707,2009,5,0,fresh_execution,stage18-scaling-24a9adb84176,0,4,8150,61
cell,62,s0-step8150-f9of10-d1of2,9,10,0.900,1,2,0.50,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3109,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,4,8150,62
cell,63,s0-step8150-f9of10-d3of4,9,10,0.900,3,4,0.75,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3109,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,4,8150,63
cell,64,s0-step8150-f19of20-d1of4,19,20,0.950,1,4,0.25,2,True,1,3,requested_member_3_budget_exhaustion,budget_exhaustion,True,24562,25438,1526,4,0,fresh_execution,stage18-scaling-24a9adb84176,0,4,8150,64
cell,65,s0-step8150-f19of20-d1of2,19,20,0.950,1,2,0.50,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3106,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,4,8150,65
cell,66,s0-step8150-f19of20-d3of4,19,20,0.950,3,4,0.75,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3106,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,4,8150,66
cell,67,s0-step8150-f39of40-d1of4,39,40,0.975,1,4,0.25,5,True,1,6,requested_member_6_budget_exhaustion,budget_exhaustion,True,45764,4236,2834,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,4,8150,67
cell,68,s0-step8150-f39of40-d1of2,39,40,0.975,1,2,0.50,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3095,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,4,8150,68
cell,69,s0-step8150-f39of40-d3of4,39,40,0.975,3,4,0.75,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3095,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,4,8150,69
cell,70,s0-step8150-f99of100-d1of4,99,100,0.990,1,4,0.25,5,True,1,6,requested_member_6_budget_exhaustion,budget_exhaustion,True,45090,4910,2786,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,4,8150,70
cell,71,s0-step8150-f99of100-d1of2,99,100,0.990,1,2,0.50,7,True,1,8,requested_member_8_budget_exhaustion,budget_exhaustion,True,50000,0,3085,8,0,fresh_execution,stage18-scaling-24a9adb84176,0,4,8150,71
cell,72,s0-step8150-f99of100-d3of4,99,100,0.990,3,4,0.75,7,True,1,8,requested_member_8_budget_exhaustion,budget_exhaustion,True,50000,0,3085,8,0,fresh_execution,stage18-scaling-24a9adb84176,0,4,8150,72
cell,73,s0-step8500-f4of5-d1of4,4,5,0.800,1,4,0.25,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3115,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,73
cell,74,s0-step8500-f4of5-d1of2,4,5,0.800,1,2,0.50,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3115,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,74
cell,75,s0-step8500-f4of5-d3of4,4,5,0.800,3,4,0.75,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3115,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,75
cell,76,s0-step8500-f17of20-d1of4,17,20,0.850,1,4,0.25,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3114,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,76
cell,77,s0-step8500-f17of20-d1of2,17,20,0.850,1,2,0.50,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3114,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,77
cell,78,s0-step8500-f17of20-d3of4,17,20,0.850,3,4,0.75,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3114,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,78
cell,79,s0-step8500-f9of10-d1of4,9,10,0.900,1,4,0.25,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3112,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,79
