record_type,model_seed,checkpoint_step,cell_id,circuit_i,circuit_j,jaccard_overlap,displayed_jaccard_cutoff,family_size,display_unit,independent_inference_unit
distinctness_sensitivity,2,9050,s2-step9050-f99of100-d1of4,,,,0.25,6,trained_model_seed,trained_model_seed
distinctness_sensitivity,2,9050,s2-step9050-f99of100-d1of2,,,,0.50,7,trained_model_seed,trained_model_seed
distinctness_sensitivity,2,9050,s2-step9050-f99of100-d3of4,,,,0.75,7,trained_model_seed,trained_model_seed
distinctness_sensitivity,3,200,s3-step200-f99of100-d1of4,,,,0.25,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,3,200,s3-step200-f99of100-d1of2,,,,0.50,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,3,200,s3-step200-f99of100-d3of4,,,,0.75,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,3,3400,s3-step3400-f99of100-d1of4,,,,0.25,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,3,3400,s3-step3400-f99of100-d1of2,,,,0.50,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,3,3400,s3-step3400-f99of100-d3of4,,,,0.75,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,3,7450,s3-step7450-f99of100-d1of4,,,,0.25,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,3,7450,s3-step7450-f99of100-d1of2,,,,0.50,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,3,7450,s3-step7450-f99of100-d3of4,,,,0.75,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,3,8150,s3-step8150-f99of100-d1of4,,,,0.25,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,3,8150,s3-step8150-f99of100-d1of2,,,,0.50,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,3,8150,s3-step8150-f99of100-d3of4,,,,0.75,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,3,8500,s3-step8500-f99of100-d1of4,,,,0.25,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,3,8500,s3-step8500-f99of100-d1of2,,,,0.50,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,3,8500,s3-step8500-f99of100-d3of4,,,,0.75,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,3,8650,s3-step8650-f99of100-d1of4,,,,0.25,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,3,8650,s3-step8650-f99of100-d1of2,,,,0.50,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,3,8650,s3-step8650-f99of100-d3of4,,,,0.75,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,3,9050,s3-step9050-f99of100-d1of4,,,,0.25,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,3,9050,s3-step9050-f99of100-d1of2,,,,0.50,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,3,9050,s3-step9050-f99of100-d3of4,,,,0.75,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,4,200,s4-step200-f99of100-d1of4,,,,0.25,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,4,200,s4-step200-f99of100-d1of2,,,,0.50,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,4,200,s4-step200-f99of100-d3of4,,,,0.75,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,4,3400,s4-step3400-f99of100-d1of4,,,,0.25,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,4,3400,s4-step3400-f99of100-d1of2,,,,0.50,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,4,3400,s4-step3400-f99of100-d3of4,,,,0.75,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,4,7450,s4-step7450-f99of100-d1of4,,,,0.25,4,trained_model_seed,trained_model_seed
distinctness_sensitivity,4,7450,s4-step7450-f99of100-d1of2,,,,0.50,7,trained_model_seed,trained_model_seed
distinctness_sensitivity,4,7450,s4-step7450-f99of100-d3of4,,,,0.75,7,trained_model_seed,trained_model_seed
distinctness_sensitivity,4,8150,s4-step8150-f99of100-d1of4,,,,0.25,4,trained_model_seed,trained_model_seed
distinctness_sensitivity,4,8150,s4-step8150-f99of100-d1of2,,,,0.50,7,trained_model_seed,trained_model_seed
distinctness_sensitivity,4,8150,s4-step8150-f99of100-d3of4,,,,0.75,7,trained_model_seed,trained_model_seed
distinctness_sensitivity,4,8500,s4-step8500-f99of100-d1of4,,,,0.25,4,trained_model_seed,trained_model_seed
distinctness_sensitivity,4,8500,s4-step8500-f99of100-d1of2,,,,0.50,6,trained_model_seed,trained_model_seed
distinctness_sensitivity,4,8500,s4-step8500-f99of100-d3of4,,,,0.75,6,trained_model_seed,trained_model_seed
distinctness_sensitivity,4,8650,s4-step8650-f99of100-d1of4,,,,0.25,5,trained_model_seed,trained_model_seed
distinctness_sensitivity,4,8650,s4-step8650-f99of100-d1of2,,,,0.50,6,trained_model_seed,trained_model_seed
distinctness_sensitivity,4,8650,s4-step8650-f99of100-d3of4,,,,0.75,6,trained_model_seed,trained_model_seed
distinctness_sensitivity,4,9050,s4-step9050-f99of100-d1of4,,,,0.25,7,trained_model_seed,trained_model_seed
distinctness_sensitivity,4,9050,s4-step9050-f99of100-d1of2,,,,0.50,7,trained_model_seed,trained_model_seed
distinctness_sensitivity,4,9050,s4-step9050-f99of100-d3of4,,,,0.75,7,trained_model_seed,trained_model_seed
