stage17_run_id,cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,search_execution_mode,source_stage,source_run_id,circuit_i,circuit_j,member_i,member_j,intersection_count,union_count,jaccard_numerator,jaccard_denominator,jaccard_overlap,structural_distance,passes_active_cutoff
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C3,C5,3,5,26,172,13,86,0.1511627906976744,0.8488372093023255,True
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C3,C6,3,6,34,161,34,161,0.2111801242236025,0.7888198757763976,True
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C3,C7,3,7,37,162,37,162,0.22839506172839505,0.7716049382716049,True
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C4,C5,4,5,36,144,1,4,0.25,0.75,True
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C4,C6,4,6,26,151,26,151,0.17218543046357615,0.8278145695364238,True
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C4,C7,4,7,30,151,30,151,0.1986754966887417,0.8013245033112583,True
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C5,C6,5,6,25,150,1,6,0.16666666666666666,0.8333333333333334,True
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C5,C7,5,7,33,146,33,146,0.22602739726027396,0.773972602739726,True
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C6,C7,6,7,25,151,25,151,0.16556291390728478,0.8344370860927153,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C1,C2,1,2,22,146,11,73,0.1506849315068493,0.8493150684931507,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C1,C3,1,3,30,161,30,161,0.18633540372670807,0.8136645962732919,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C1,C4,1,4,39,134,39,134,0.291044776119403,0.708955223880597,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C1,C5,1,5,38,133,2,7,0.2857142857142857,0.7142857142857143,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C1,C6,1,6,28,140,1,5,0.2,0.8,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C1,C7,1,7,35,137,35,137,0.25547445255474455,0.7445255474452555,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C2,C3,2,3,18,177,6,59,0.1016949152542373,0.8983050847457628,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C2,C4,2,4,27,150,9,50,0.18,0.8200000000000001,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C2,C5,2,5,34,141,34,141,0.24113475177304963,0.7588652482269503,True
