component_identifier,neuron_index,activation_mean,activation_variance,near_constant,total_non_dc_power,diagonal_power,diagonal_power_fraction,dominant_canonical_frequency_pair
N125,125,3.7285601057276176,28.535811920585655,False,364373.7824139582,19408.578558476922,0.05326557369165271,56
N126,126,5.74284388129215,50.392933088187725,False,643467.3626030689,71555.57927485713,0.1112031214534141,56
N127,127,4.1253663383770585,32.22680292415486,False,411504.0465385334,43093.772209329865,0.1047225964649039,3
N128,128,2.6215475539568756,14.318469707280691,False,182832.53969226708,23997.818817169195,0.13125573192584267,48
N129,129,7.920997690938866,122.67291021405856,False,1566410.3905233138,169011.43588189594,0.10789728981906958,56
N130,130,4.446229895999892,37.51079736561019,False,478975.3715614764,49135.7462833687,0.10258512065700677,17
N131,131,4.7839380027056375,31.333132801140707,False,400092.7727377657,41256.70209829591,0.10311783893516353,56
N132,132,4.192706774407803,33.51417293966076,False,427942.4742665282,35573.393650701815,0.0831265784301332,48
N133,133,2.09287231842901,9.501602724199874,False,121325.96518530816,5419.387622144456,0.04466799513086182,3
N134,134,5.495515817138823,62.82972780605533,False,802272.7943555205,86991.16866942272,0.10843090938825144,3
N135,135,1.2893141216666062,3.9848506748678956,False,50882.55826738814,1547.537387119779,0.03041390684382379,1
N136,136,1.63145753459687,6.203236382941212,False,79209.12537377632,1919.0532664450598,0.024227679038107377,1
N137,137,2.031228080424491,7.841688101678918,False,100130.51537033811,5950.324249451849,0.05942568284447807,20
N138,138,3.1394724730209935,20.09649055467904,False,256612.08789269655,26027.637327406504,0.10142794730032388,3
N139,139,1.564547875841076,3.6809890575289805,False,47002.549275587546,1655.393919491109,0.03521923693511018,3
N140,140,0.9223774820950323,2.2974533991021024,False,29336.182453134745,1257.4600832545989,0.04286379406261948,17
N141,141,5.018588132639036,49.38595739087747,False,630609.2899241144,68386.16054911319,0.10844458152105971,17
N142,142,5.622968662694364,54.593559982997974,False,697105.1674229013,72611.56341736291,0.10416156243081304,56
N143,143,8.15435662961052,120.99551458263844,False,1544991.7257057093,159168.86242391545,0.10302246916643618,56
