cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,model_seed,checkpoint_step,primary_cell,search_execution_mode,source_stage,source_run_id,family_size,family_target,right_censored,right_censoring_status,status,stopping_reason,exact_evaluations_used,ranking_passes,restarts_attempted,accepted_circuit_count,failed_requested_member_count,budget_remaining,transfer_group_count,transfer_group_status,pair_count,minimum_pairwise_jaccard_overlap,maximum_pairwise_jaccard_overlap,mean_pairwise_overlap,median_pairwise_overlap,minimum_structural_distance,maximum_structural_distance,mean_structural_distance,cutoff_compliance,stage18_run_id,checkpoint_index,global_cell_index
61,s0-step8150-f9of10-d1of4,9,10,0.900,1,4,0.25,0,8150,False,fresh_execution,,,3,10,False,not_right_censored,budget_exhaustion,requested_member_4_budget_exhaustion,32293,2009,5,3,1,17707,1,complete,3,0.13541666666666666,0.19148936170212766,0.16216016548463358,0.1595744680851064,0.8085106382978724,0.8645833333333334,0.8378398345153665,True,stage18-scaling-24a9adb84176,4,61
62,s0-step8150-f9of10-d1of2,9,10,0.900,1,2,0.50,0,8150,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3109,7,6,1,0,1,complete,15,0.13541666666666666,0.2777777777777778,0.19962588945376575,0.19148936170212766,0.7222222222222222,0.8645833333333334,0.8003741105462343,True,stage18-scaling-24a9adb84176,4,62
63,s0-step8150-f9of10-d3of4,9,10,0.900,3,4,0.75,0,8150,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3109,7,6,1,0,1,complete,15,0.13541666666666666,0.2777777777777778,0.19962588945376575,0.19148936170212766,0.7222222222222222,0.8645833333333334,0.8003741105462343,True,stage18-scaling-24a9adb84176,4,63
64,s0-step8150-f19of20-d1of4,19,20,0.950,1,4,0.25,0,8150,False,fresh_execution,,,2,10,False,not_right_censored,budget_exhaustion,requested_member_3_budget_exhaustion,24562,1526,4,2,1,25438,1,complete,1,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.8695652173913043,0.8695652173913043,0.8695652173913043,True,stage18-scaling-24a9adb84176,4,64
65,s0-step8150-f19of20-d1of2,19,20,0.950,1,2,0.50,0,8150,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3106,7,6,1,0,1,complete,15,0.10833333333333334,0.32653061224489793,0.17463405003748556,0.1559633027522936,0.6734693877551021,0.8916666666666666,0.8253659499625144,True,stage18-scaling-24a9adb84176,4,65
66,s0-step8150-f19of20-d3of4,19,20,0.950,3,4,0.75,0,8150,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3106,7,6,1,0,1,complete,15,0.10833333333333334,0.32653061224489793,0.17463405003748556,0.1559633027522936,0.6734693877551021,0.8916666666666666,0.8253659499625144,True,stage18-scaling-24a9adb84176,4,66
67,s0-step8150-f39of40-d1of4,39,40,0.975,1,4,0.25,0,8150,False,fresh_execution,,,5,10,False,not_right_censored,budget_exhaustion,requested_member_6_budget_exhaustion,45764,2834,7,5,1,4236,1,complete,10,0.08823529411764706,0.23333333333333334,0.1543010217624058,0.15901304321692614,0.7666666666666666,0.9117647058823529,0.8456989782375942,True,stage18-scaling-24a9adb84176,4,67
68,s0-step8150-f39of40-d1of2,39,40,0.975,1,2,0.50,0,8150,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3095,7,6,1,0,1,complete,15,0.08823529411764706,0.30701754385964913,0.17230892147265117,0.16535433070866143,0.6929824561403508,0.9117647058823529,0.8276910785273488,True,stage18-scaling-24a9adb84176,4,68
69,s0-step8150-f39of40-d3of4,39,40,0.975,3,4,0.75,0,8150,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3095,7,6,1,0,1,complete,15,0.08823529411764706,0.30701754385964913,0.17230892147265117,0.16535433070866143,0.6929824561403508,0.9117647058823529,0.8276910785273488,True,stage18-scaling-24a9adb84176,4,69
70,s0-step8150-f99of100-d1of4,99,100,0.990,1,4,0.25,0,8150,False,fresh_execution,,,5,10,False,not_right_censored,budget_exhaustion,requested_member_6_budget_exhaustion,45090,2786,7,5,1,4910,1,complete,10,0.1038961038961039,0.19014084507042253,0.13737033964497025,0.12799329501915707,0.8098591549295775,0.8961038961038961,0.8626296603550297,True,stage18-scaling-24a9adb84176,4,70
71,s0-step8150-f99of100-d1of2,99,100,0.990,1,2,0.50,0,8150,True,fresh_execution,,,7,10,False,not_right_censored,budget_exhaustion,requested_member_8_budget_exhaustion,50000,3085,8,7,1,0,1,complete,21,0.10126582278481013,0.3203125,0.16299688661990863,0.15333333333333332,0.6796875,0.8987341772151899,0.8370031133800914,True,stage18-scaling-24a9adb84176,4,71
72,s0-step8150-f99of100-d3of4,99,100,0.990,3,4,0.75,0,8150,False,fresh_execution,,,7,10,False,not_right_censored,budget_exhaustion,requested_member_8_budget_exhaustion,50000,3085,8,7,1,0,1,complete,21,0.10126582278481013,0.3203125,0.16299688661990863,0.15333333333333332,0.6796875,0.8987341772151899,0.8370031133800914,True,stage18-scaling-24a9adb84176,4,72
73,s0-step8500-f4of5-d1of4,4,5,0.800,1,4,0.25,0,8500,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3115,7,6,1,0,1,complete,15,0.10126582278481013,0.2112676056338028,0.174602977410662,0.18309859154929578,0.7887323943661972,0.8987341772151899,0.825397022589338,True,stage18-scaling-24a9adb84176,5,73
