model_seed,checkpoint_step,metric,trajectory_value,value_status,undefined_reason,trajectory_definition,independent_unit
4,3400,mean_transfer_fidelity,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
4,3400,matched_fidelity_structural_diversity,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,adjacent_change_right_minus_left,trained_model_seed
4,3400,matched_sparsity_fidelity,,undefined,matched_sparsity_pair_unavailable,adjacent_change_right_minus_left,trained_model_seed
4,7450,structural_family_size,7,defined,,raw_checkpoint_value,trained_model_seed
4,7450,transfer_distinct_group_count,1,defined,,raw_checkpoint_value,trained_model_seed
4,7450,median_pairwise_overlap,0.16,defined,,raw_checkpoint_value,trained_model_seed
4,7450,median_circuit_size,88,defined,,raw_checkpoint_value,trained_model_seed
4,7450,mean_transfer_fidelity,0.9904486793480748107142857143,defined,,raw_checkpoint_value,trained_model_seed
4,7450,matched_fidelity_structural_diversity,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,adjacent_change_right_minus_left,trained_model_seed
4,7450,matched_sparsity_fidelity,,undefined,matched_sparsity_pair_unavailable,adjacent_change_right_minus_left,trained_model_seed
4,8150,structural_family_size,7,defined,,raw_checkpoint_value,trained_model_seed
4,8150,transfer_distinct_group_count,1,defined,,raw_checkpoint_value,trained_model_seed
4,8150,median_pairwise_overlap,0.16666666666666666,defined,,raw_checkpoint_value,trained_model_seed
4,8150,median_circuit_size,75,defined,,raw_checkpoint_value,trained_model_seed
4,8150,mean_transfer_fidelity,0.9906121210933258571428571429,defined,,raw_checkpoint_value,trained_model_seed
4,8150,matched_fidelity_structural_diversity,-0.00666666666666666,defined,,adjacent_change_right_minus_left,trained_model_seed
4,8150,matched_sparsity_fidelity,0.0002349440050122,defined,,adjacent_change_right_minus_left,trained_model_seed
4,8500,structural_family_size,6,defined,,raw_checkpoint_value,trained_model_seed
4,8500,transfer_distinct_group_count,1,defined,,raw_checkpoint_value,trained_model_seed
4,8500,median_pairwise_overlap,0.12396694214876033,defined,,raw_checkpoint_value,trained_model_seed
4,8500,median_circuit_size,65.0,defined,,raw_checkpoint_value,trained_model_seed
4,8500,mean_transfer_fidelity,0.9910339039432331708333333333,defined,,raw_checkpoint_value,trained_model_seed
4,8500,matched_fidelity_structural_diversity,0.04657569351015440,defined,,adjacent_change_right_minus_left,trained_model_seed
4,8500,matched_sparsity_fidelity,0.0001174720025060,defined,,adjacent_change_right_minus_left,trained_model_seed
4,8650,structural_family_size,6,defined,,raw_checkpoint_value,trained_model_seed
4,8650,transfer_distinct_group_count,1,defined,,raw_checkpoint_value,trained_model_seed
4,8650,median_pairwise_overlap,0.14285714285714285,defined,,raw_checkpoint_value,trained_model_seed
4,8650,median_circuit_size,68.0,defined,,raw_checkpoint_value,trained_model_seed
4,8650,mean_transfer_fidelity,0.9904259812477622541666666667,defined,,raw_checkpoint_value,trained_model_seed
4,8650,matched_fidelity_structural_diversity,-0.01889020070838252,defined,,adjacent_change_right_minus_left,trained_model_seed
4,8650,matched_sparsity_fidelity,-0.0007048320150365,defined,,adjacent_change_right_minus_left,trained_model_seed
4,9050,structural_family_size,7,defined,,raw_checkpoint_value,trained_model_seed
4,9050,transfer_distinct_group_count,1,defined,,raw_checkpoint_value,trained_model_seed
4,9050,median_pairwise_overlap,0.12949640287769784,defined,,raw_checkpoint_value,trained_model_seed
4,9050,median_circuit_size,80,defined,,raw_checkpoint_value,trained_model_seed
4,9050,mean_transfer_fidelity,0.9906428654432357142857142857,defined,,raw_checkpoint_value,trained_model_seed
4,9050,matched_fidelity_structural_diversity,0.01336073997944501,defined,,adjacent_change_right_minus_left,trained_model_seed
4,9050,matched_sparsity_fidelity,0.0006265173466991,defined,,adjacent_change_right_minus_left,trained_model_seed
