cell_id,circuit_id,cross_entropy,evaluation_subset,fidelity,ground_truth_accuracy,jensen_shannon_divergence,kl_divergence,prediction_agreement_count,source_run_id,source_stage,subset_example_count,transfer_execution_mode,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
s0-step7450-f17of20-d1of2,C2,1.3377320364801526,Q3,0.8483709273182958,0.8483709273182958,0.3519473225477894,1.3359643129700733,2708,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
s0-step7450-f17of20-d1of2,C2,1.324247268703291,Q4,0.8555484693877551,0.8555484693877551,0.34643033670727164,1.3222584422815553,2683,,,3136,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
s0-step7450-f17of20-d1of2,C3,1.39145819459967,Q1,0.8362573099415205,0.8359495229301324,0.3612344045239014,1.389484438372139,2717,,,3249,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
s0-step7450-f17of20-d1of2,C3,1.3905938160780789,Q2,0.8624686716791979,0.8624686716791979,0.3629917201608242,1.3887635106057452,2753,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
s0-step7450-f17of20-d1of2,C3,1.3910766917941415,Q3,0.8609022556390977,0.8609022556390977,0.36303264749140707,1.3892516712553071,2748,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
s0-step7450-f17of20-d1of2,C3,1.36591237542286,Q4,0.8657525510204082,0.8657525510204082,0.3550673475012668,1.3638059429144866,2715,,,3136,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
s0-step7450-f17of20-d1of2,C4,1.2490712687586427,Q1,0.8611880578639581,0.8614958448753463,0.3323279162685402,1.2471596705178347,2798,,,3249,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
s0-step7450-f17of20-d1of2,C4,1.2630265258616746,Q2,0.8521303258145363,0.8521303258145363,0.3348493184821381,1.2612886527438827,2720,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
s0-step7450-f17of20-d1of2,C4,1.2637363046826096,Q3,0.8530701754385965,0.8530701754385965,0.33494750657372696,1.2619900630184806,2723,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
s0-step7450-f17of20-d1of2,C4,1.2402507160928062,Q4,0.8587372448979592,0.8587372448979592,0.32848290909599626,1.2382981056770386,2693,,,3136,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
s0-step7450-f17of20-d1of2,C5,1.2119605898112975,Q1,0.8784241305016929,0.8784241305016929,0.32536888278237663,1.2099563391720398,2854,,,3249,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
s0-step7450-f17of20-d1of2,C5,1.2579793843702136,Q2,0.8609022556390977,0.8609022556390977,0.3361955917540139,1.2561977601943906,2748,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
s0-step7450-f17of20-d1of2,C5,1.2586917302622005,Q3,0.8605889724310777,0.8605889724310777,0.33630222385182607,1.25691940520282,2747,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
s0-step7450-f17of20-d1of2,C5,1.3251098318159704,Q4,0.8172831632653061,0.8172831632653061,0.34468909962119404,1.3230903171414476,2563,,,3136,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
s0-step7450-f17of20-d1of2,C6,1.3082548760155157,Q1,0.8605724838411819,0.8602646968297938,0.34570781292927544,1.3061793000709923,2796,,,3249,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
s0-step7450-f17of20-d1of2,C6,1.310413642732758,Q2,0.8643483709273183,0.8643483709273183,0.34737288076804024,1.308764571950708,2759,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
s0-step7450-f17of20-d1of2,C6,1.311093281051214,Q3,0.8652882205513784,0.8652882205513784,0.3474740851413748,1.3094249046967834,2762,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
s0-step7450-f17of20-d1of2,C6,1.282251757181164,Q4,0.8526785714285714,0.8526785714285714,0.3393552844448708,1.280236972931283,2674,,,3136,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
s0-step7450-f17of20-d3of4,C1,1.2406657013897955,Q1,0.858110187750077,0.8578024007386889,0.3282127029600156,1.238766539587776,2788,,,3249,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,42
s0-step7450-f17of20-d3of4,C1,1.2112485616856528,Q2,0.8587092731829574,0.8587092731829574,0.3236474037289451,1.2094157705600501,2741,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,42
s0-step7450-f17of20-d3of4,C1,1.212259493351571,Q3,0.856829573934837,0.856829573934837,0.32382252961216274,1.2104375665986393,2735,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,42
s0-step7450-f17of20-d3of4,C1,1.1816228968111355,Q4,0.8580994897959183,0.8580994897959183,0.3151383264729312,1.1796760406882363,2691,,,3136,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,42
s0-step7450-f17of20-d3of4,C2,1.3279946717141535,Q1,0.8618036318867344,0.8614958448753463,0.34829165272657764,1.3260032396514752,2800,,,3249,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,42
s0-step7450-f17of20-d3of4,C2,1.3370448304611586,Q2,0.8493107769423559,0.8493107769423559,0.35184308432902145,1.335286095497119,2711,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,42
s0-step7450-f17of20-d3of4,C2,1.3377320364801526,Q3,0.8483709273182958,0.8483709273182958,0.3519473225477894,1.3359643129700733,2708,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,42
s0-step7450-f17of20-d3of4,C2,1.324247268703291,Q4,0.8555484693877551,0.8555484693877551,0.34643033670727164,1.3222584422815553,2683,,,3136,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,42
s0-step7450-f17of20-d3of4,C3,1.39145819459967,Q1,0.8362573099415205,0.8359495229301324,0.3612344045239014,1.389484438372139,2717,,,3249,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,42
s0-step7450-f17of20-d3of4,C3,1.3905938160780789,Q2,0.8624686716791979,0.8624686716791979,0.3629917201608242,1.3887635106057452,2753,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,42
s0-step7450-f17of20-d3of4,C3,1.3910766917941415,Q3,0.8609022556390977,0.8609022556390977,0.36303264749140707,1.3892516712553071,2748,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,42
s0-step7450-f17of20-d3of4,C3,1.36591237542286,Q4,0.8657525510204082,0.8657525510204082,0.3550673475012668,1.3638059429144866,2715,,,3136,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,42
s0-step7450-f17of20-d3of4,C4,1.2490712687586427,Q1,0.8611880578639581,0.8614958448753463,0.3323279162685402,1.2471596705178347,2798,,,3249,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,42
s0-step7450-f17of20-d3of4,C4,1.2630265258616746,Q2,0.8521303258145363,0.8521303258145363,0.3348493184821381,1.2612886527438827,2720,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,42
s0-step7450-f17of20-d3of4,C4,1.2637363046826096,Q3,0.8530701754385965,0.8530701754385965,0.33494750657372696,1.2619900630184806,2723,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,42
s0-step7450-f17of20-d3of4,C4,1.2402507160928062,Q4,0.8587372448979592,0.8587372448979592,0.32848290909599626,1.2382981056770386,2693,,,3136,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,42
s0-step7450-f17of20-d3of4,C5,1.2119605898112975,Q1,0.8784241305016929,0.8784241305016929,0.32536888278237663,1.2099563391720398,2854,,,3249,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,42
s0-step7450-f17of20-d3of4,C5,1.2579793843702136,Q2,0.8609022556390977,0.8609022556390977,0.3361955917540139,1.2561977601943906,2748,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,42
