model_seed,checkpoint_step,cell_id,exact_evaluations_used,ranking_passes,restarts_attempted
2,200,s2-step200-f17of20-d1of2,1399,14,1
2,200,s2-step200-f17of20-d3of4,1399,14,1
2,200,s2-step200-f9of10-d1of4,1547,10,1
2,200,s2-step200-f9of10-d1of2,1547,10,1
2,200,s2-step200-f9of10-d3of4,1547,10,1
2,200,s2-step200-f19of20-d1of4,1087,6,1
2,200,s2-step200-f19of20-d1of2,1087,6,1
2,200,s2-step200-f19of20-d3of4,1087,6,1
2,200,s2-step200-f39of40-d1of4,1040,5,1
2,200,s2-step200-f39of40-d1of2,1040,5,1
2,200,s2-step200-f39of40-d3of4,1040,5,1
2,200,s2-step200-f99of100-d1of4,977,4,1
2,200,s2-step200-f99of100-d1of2,977,4,1
2,200,s2-step200-f99of100-d3of4,977,4,1
2,3400,s2-step3400-f4of5-d1of4,1974,31,1
2,3400,s2-step3400-f4of5-d1of2,1974,31,1
2,3400,s2-step3400-f4of5-d3of4,1974,31,1
2,3400,s2-step3400-f17of20-d1of4,869,16,1
2,3400,s2-step3400-f17of20-d1of2,869,16,1
2,3400,s2-step3400-f17of20-d3of4,869,16,1
2,3400,s2-step3400-f9of10-d1of4,606,7,1
2,3400,s2-step3400-f9of10-d1of2,606,7,1
2,3400,s2-step3400-f9of10-d3of4,606,7,1
2,3400,s2-step3400-f19of20-d1of4,546,3,1
2,3400,s2-step3400-f19of20-d1of2,546,3,1
2,3400,s2-step3400-f19of20-d3of4,546,3,1
2,3400,s2-step3400-f39of40-d1of4,547,2,1
2,3400,s2-step3400-f39of40-d1of2,547,2,1
2,3400,s2-step3400-f39of40-d3of4,547,2,1
2,3400,s2-step3400-f99of100-d1of4,723,2,1
2,3400,s2-step3400-f99of100-d1of2,723,2,1
2,3400,s2-step3400-f99of100-d3of4,723,2,1
2,7450,s2-step7450-f4of5-d1of4,30603,1882,5
2,7450,s2-step7450-f4of5-d1of2,50000,3070,8
2,7450,s2-step7450-f4of5-d3of4,50000,3070,8
2,7450,s2-step7450-f17of20-d1of4,30168,1848,5
2,7450,s2-step7450-f17of20-d1of2,50000,3060,8
2,7450,s2-step7450-f17of20-d3of4,50000,3060,8
2,7450,s2-step7450-f9of10-d1of4,29104,1781,5
2,7450,s2-step7450-f9of10-d1of2,50000,3036,8
2,7450,s2-step7450-f9of10-d3of4,50000,3036,8
2,7450,s2-step7450-f19of20-d1of4,28175,1608,5
2,7450,s2-step7450-f19of20-d1of2,50000,2783,9
2,7450,s2-step7450-f19of20-d3of4,50000,2783,9
2,7450,s2-step7450-f39of40-d1of4,22686,1093,4
2,7450,s2-step7450-f39of40-d1of2,50000,2303,9
2,7450,s2-step7450-f39of40-d3of4,50000,2303,9
2,7450,s2-step7450-f99of100-d1of4,5369,220,1
2,7450,s2-step7450-f99of100-d1of2,5369,220,1
2,7450,s2-step7450-f99of100-d3of4,5369,220,1
2,8150,s2-step8150-f4of5-d1of4,24727,1538,4
2,8150,s2-step8150-f4of5-d1of2,50000,3110,7
2,8150,s2-step8150-f4of5-d3of4,50000,3110,7
2,8150,s2-step8150-f17of20-d1of4,24594,1527,4
2,8150,s2-step8150-f17of20-d1of2,50000,3106,7
2,8150,s2-step8150-f17of20-d3of4,50000,3106,7
2,8150,s2-step8150-f9of10-d1of4,24382,1514,4
2,8150,s2-step8150-f9of10-d1of2,50000,3104,7
2,8150,s2-step8150-f9of10-d3of4,50000,3104,7
2,8150,s2-step8150-f19of20-d1of4,24009,1486,4
2,8150,s2-step8150-f19of20-d1of2,50000,3089,8
2,8150,s2-step8150-f19of20-d3of4,50000,3089,8
2,8150,s2-step8150-f39of40-d1of4,23662,1462,4
2,8150,s2-step8150-f39of40-d1of2,50000,3080,8
2,8150,s2-step8150-f39of40-d3of4,50000,3080,8
2,8150,s2-step8150-f99of100-d1of4,23170,1425,4
2,8150,s2-step8150-f99of100-d1of2,50000,3056,8
2,8150,s2-step8150-f99of100-d3of4,50000,3056,8
2,8500,s2-step8500-f4of5-d1of4,40024,2491,6
2,8500,s2-step8500-f4of5-d1of2,50000,3112,7
2,8500,s2-step8500-f4of5-d3of4,50000,3112,7
2,8500,s2-step8500-f17of20-d1of4,47065,2927,7
2,8500,s2-step8500-f17of20-d1of2,50000,3110,7
2,8500,s2-step8500-f17of20-d3of4,50000,3110,7
2,8500,s2-step8500-f9of10-d1of4,24727,1538,4
2,8500,s2-step8500-f9of10-d1of2,50000,3106,7
2,8500,s2-step8500-f9of10-d3of4,50000,3106,7
2,8500,s2-step8500-f19of20-d1of4,31619,1961,5
2,8500,s2-step8500-f19of20-d1of2,50000,3101,7
2,8500,s2-step8500-f19of20-d3of4,50000,3101,7
2,8500,s2-step8500-f39of40-d1of4,30989,1918,5
2,8500,s2-step8500-f39of40-d1of2,50000,3094,8
2,8500,s2-step8500-f39of40-d3of4,50000,3094,8
2,8500,s2-step8500-f99of100-d1of4,30450,1881,5
2,8500,s2-step8500-f99of100-d1of2,50000,3085,8
2,8500,s2-step8500-f99of100-d3of4,50000,3085,8
2,8650,s2-step8650-f4of5-d1of4,24982,1555,4
2,8650,s2-step8650-f4of5-d1of2,50000,3111,7
2,8650,s2-step8650-f4of5-d3of4,50000,3111,7
2,8650,s2-step8650-f17of20-d1of4,32368,2014,5
2,8650,s2-step8650-f17of20-d1of2,50000,3111,7
2,8650,s2-step8650-f17of20-d3of4,50000,3111,7
2,8650,s2-step8650-f9of10-d1of4,32098,1995,5
2,8650,s2-step8650-f9of10-d1of2,50000,3108,7
2,8650,s2-step8650-f9of10-d3of4,50000,3108,7
2,8650,s2-step8650-f19of20-d1of4,31528,1957,5
2,8650,s2-step8650-f19of20-d1of2,50000,3103,7
2,8650,s2-step8650-f19of20-d3of4,50000,3103,7
2,8650,s2-step8650-f39of40-d1of4,31274,1938,5
2,8650,s2-step8650-f39of40-d1of2,50000,3093,8
2,8650,s2-step8650-f39of40-d3of4,50000,3093,8
2,8650,s2-step8650-f99of100-d1of4,30772,1895,5
2,8650,s2-step8650-f99of100-d1of2,50000,3077,8
2,8650,s2-step8650-f99of100-d3of4,50000,3077,8
2,9050,s2-step9050-f4of5-d1of4,32308,2010,5
2,9050,s2-step9050-f4of5-d1of2,50000,3112,7
2,9050,s2-step9050-f4of5-d3of4,50000,3112,7
2,9050,s2-step9050-f17of20-d1of4,39604,2463,6
2,9050,s2-step9050-f17of20-d1of2,50000,3111,7
2,9050,s2-step9050-f17of20-d3of4,50000,3111,7
2,9050,s2-step9050-f9of10-d1of4,32144,1996,5
2,9050,s2-step9050-f9of10-d1of2,50000,3106,7
2,9050,s2-step9050-f9of10-d3of4,50000,3106,7
2,9050,s2-step9050-f19of20-d1of4,46017,2854,7
2,9050,s2-step9050-f19of20-d1of2,50000,3103,7
2,9050,s2-step9050-f19of20-d3of4,50000,3103,7
2,9050,s2-step9050-f39of40-d1of4,50000,3095,8
2,9050,s2-step9050-f39of40-d1of2,50000,3095,8
2,9050,s2-step9050-f39of40-d3of4,50000,3095,8
2,9050,s2-step9050-f99of100-d1of4,50000,3088,8
2,9050,s2-step9050-f99of100-d1of2,50000,3088,8
2,9050,s2-step9050-f99of100-d3of4,50000,3088,8
3,200,s3-step200-f4of5-d1of4,2714,27,1
3,200,s3-step200-f4of5-d1of2,2714,27,1
3,200,s3-step200-f4of5-d3of4,2714,27,1
3,200,s3-step200-f17of20-d1of4,2530,19,1
3,200,s3-step200-f17of20-d1of2,2530,19,1
3,200,s3-step200-f17of20-d3of4,2530,19,1
3,200,s3-step200-f9of10-d1of4,1675,10,1
3,200,s3-step200-f9of10-d1of2,1675,10,1
3,200,s3-step200-f9of10-d3of4,1675,10,1
3,200,s3-step200-f19of20-d1of4,1708,9,1
3,200,s3-step200-f19of20-d1of2,1708,9,1
3,200,s3-step200-f19of20-d3of4,1708,9,1
3,200,s3-step200-f39of40-d1of4,1310,7,1
3,200,s3-step200-f39of40-d1of2,1310,7,1
3,200,s3-step200-f39of40-d3of4,1310,7,1
3,200,s3-step200-f99of100-d1of4,1454,7,1
3,200,s3-step200-f99of100-d1of2,1454,7,1
3,200,s3-step200-f99of100-d3of4,1454,7,1
3,3400,s3-step3400-f4of5-d1of4,2195,34,1
3,3400,s3-step3400-f4of5-d1of2,2195,34,1
3,3400,s3-step3400-f4of5-d3of4,2195,34,1
3,3400,s3-step3400-f17of20-d1of4,1282,19,1
3,3400,s3-step3400-f17of20-d1of2,1282,19,1
3,3400,s3-step3400-f17of20-d3of4,1282,19,1
3,3400,s3-step3400-f9of10-d1of4,922,11,1
3,3400,s3-step3400-f9of10-d1of2,922,11,1
3,3400,s3-step3400-f9of10-d3of4,922,11,1
3,3400,s3-step3400-f19of20-d1of4,991,6,1
3,3400,s3-step3400-f19of20-d1of2,991,6,1
3,3400,s3-step3400-f19of20-d3of4,991,6,1
3,3400,s3-step3400-f39of40-d1of4,754,3,1
3,3400,s3-step3400-f39of40-d1of2,754,3,1
3,3400,s3-step3400-f39of40-d3of4,754,3,1
3,3400,s3-step3400-f99of100-d1of4,930,3,1
3,3400,s3-step3400-f99of100-d1of2,930,3,1
3,3400,s3-step3400-f99of100-d3of4,930,3,1
3,7450,s3-step7450-f4of5-d1of4,1326,39,1
3,7450,s3-step7450-f4of5-d1of2,1326,39,1
3,7450,s3-step7450-f4of5-d3of4,1326,39,1
3,7450,s3-step7450-f17of20-d1of4,1054,23,1
3,7450,s3-step7450-f17of20-d1of2,1054,23,1
3,7450,s3-step7450-f17of20-d3of4,1054,23,1
3,7450,s3-step7450-f9of10-d1of4,985,12,1
3,7450,s3-step7450-f9of10-d1of2,985,12,1
3,7450,s3-step7450-f9of10-d3of4,985,12,1
3,7450,s3-step7450-f19of20-d1of4,577,4,1
3,7450,s3-step7450-f19of20-d1of2,577,4,1
3,7450,s3-step7450-f19of20-d3of4,577,4,1
3,7450,s3-step7450-f39of40-d1of4,531,2,1
3,7450,s3-step7450-f39of40-d1of2,531,2,1
3,7450,s3-step7450-f39of40-d3of4,531,2,1
3,7450,s3-step7450-f99of100-d1of4,803,2,1
3,7450,s3-step7450-f99of100-d1of2,803,2,1
3,7450,s3-step7450-f99of100-d3of4,803,2,1
3,8150,s3-step8150-f4of5-d1of4,2534,79,1
3,8150,s3-step8150-f4of5-d1of2,2534,79,1
3,8150,s3-step8150-f4of5-d3of4,2534,79,1
3,8150,s3-step8150-f17of20-d1of4,1748,49,1
3,8150,s3-step8150-f17of20-d1of2,1748,49,1
3,8150,s3-step8150-f17of20-d3of4,1748,49,1
3,8150,s3-step8150-f9of10-d1of4,1274,27,1
3,8150,s3-step8150-f9of10-d1of2,1274,27,1
3,8150,s3-step8150-f9of10-d3of4,1274,27,1
3,8150,s3-step8150-f19of20-d1of4,591,6,1
3,8150,s3-step8150-f19of20-d1of2,591,6,1
3,8150,s3-step8150-f19of20-d3of4,591,6,1
3,8150,s3-step8150-f39of40-d1of4,689,4,1
3,8150,s3-step8150-f39of40-d1of2,689,4,1
3,8150,s3-step8150-f39of40-d3of4,689,4,1
3,8150,s3-step8150-f99of100-d1of4,563,2,1
3,8150,s3-step8150-f99of100-d1of2,563,2,1
3,8150,s3-step8150-f99of100-d3of4,563,2,1
3,8500,s3-step8500-f4of5-d1of4,3510,127,1
3,8500,s3-step8500-f4of5-d1of2,3510,127,1
3,8500,s3-step8500-f4of5-d3of4,3510,127,1
3,8500,s3-step8500-f17of20-d1of4,2591,70,1
3,8500,s3-step8500-f17of20-d1of2,2591,70,1
3,8500,s3-step8500-f17of20-d3of4,2591,70,1
3,8500,s3-step8500-f9of10-d1of4,1553,36,1
3,8500,s3-step8500-f9of10-d1of2,1553,36,1
3,8500,s3-step8500-f9of10-d3of4,1553,36,1
3,8500,s3-step8500-f19of20-d1of4,1316,17,1
3,8500,s3-step8500-f19of20-d1of2,1316,17,1
3,8500,s3-step8500-f19of20-d3of4,1316,17,1
3,8500,s3-step8500-f39of40-d1of4,800,5,1
3,8500,s3-step8500-f39of40-d1of2,800,5,1
3,8500,s3-step8500-f39of40-d3of4,800,5,1
3,8500,s3-step8500-f99of100-d1of4,547,2,1
3,8500,s3-step8500-f99of100-d1of2,547,2,1
3,8500,s3-step8500-f99of100-d3of4,547,2,1
3,8650,s3-step8650-f4of5-d1of4,4511,150,1
3,8650,s3-step8650-f4of5-d1of2,4511,150,1
3,8650,s3-step8650-f4of5-d3of4,4511,150,1
3,8650,s3-step8650-f17of20-d1of4,4160,101,1
3,8650,s3-step8650-f17of20-d1of2,4160,101,1
3,8650,s3-step8650-f17of20-d3of4,4160,101,1
3,8650,s3-step8650-f9of10-d1of4,2007,46,1
3,8650,s3-step8650-f9of10-d1of2,2007,46,1
3,8650,s3-step8650-f9of10-d3of4,2007,46,1
