cell_id,cell_index,circuit_i,circuit_j,maximum_absolute_difference,maximum_distance_subset,q1_absolute_difference,q2_absolute_difference,q3_absolute_difference,q4_absolute_difference,same_primary_transfer_group,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
s2-step7450-f17of20-d3of4,294,C4,C6,0.005540166204986208,Q1,0.005540166204986208,0.004072681704260672,0.0031328320802005427,0.001913265306122347,True,stage18-scaling-24a9adb84176,2,3,7450,294
s2-step7450-f17of20-d3of4,294,C4,C7,0.007079101261926679,Q1,0.007079101261926679,0.003759398496240629,0.004385964912280715,0.0003188775510204467,True,stage18-scaling-24a9adb84176,2,3,7450,294
s2-step7450-f17of20-d3of4,294,C5,C6,0.012619267466912887,Q1,0.012619267466912887,0.011904761904761973,0.0028195488721804995,0.004145408163265252,True,stage18-scaling-24a9adb84176,2,3,7450,294
s2-step7450-f17of20-d3of4,294,C5,C7,0.0046992481203007586,Q3,0.0,0.004072681704260672,0.0046992481203007586,0.001913265306122458,True,stage18-scaling-24a9adb84176,2,3,7450,294
s2-step7450-f17of20-d3of4,294,C6,C7,0.012619267466912887,Q1,0.012619267466912887,0.007832080200501301,0.007518796992481258,0.0022321428571427937,True,stage18-scaling-24a9adb84176,2,3,7450,294
s2-step7450-f9of10-d1of4,295,C1,C2,0.014987244897959107,Q4,0.010156971375807955,0.012218045112781906,0.009085213032581474,0.014987244897959107,True,stage18-scaling-24a9adb84176,2,3,7450,295
s2-step7450-f9of10-d1of4,295,C1,C3,0.013711734693877542,Q4,0.002462296091104932,0.006265664160400974,0.006265664160400974,0.013711734693877542,True,stage18-scaling-24a9adb84176,2,3,7450,295
s2-step7450-f9of10-d1of4,295,C2,C3,0.007694675284703023,Q1,0.007694675284703023,0.005952380952380931,0.0028195488721804995,0.0012755102040815647,True,stage18-scaling-24a9adb84176,2,3,7450,295
s2-step7450-f9of10-d1of2,296,C1,C2,0.014987244897959107,Q4,0.010156971375807955,0.012218045112781906,0.009085213032581474,0.014987244897959107,True,stage18-scaling-24a9adb84176,2,3,7450,296
s2-step7450-f9of10-d1of2,296,C1,C3,0.013711734693877542,Q4,0.002462296091104932,0.006265664160400974,0.006265664160400974,0.013711734693877542,True,stage18-scaling-24a9adb84176,2,3,7450,296
s2-step7450-f9of10-d1of2,296,C1,C4,0.007205513784461104,Q3,0.0015389350569405824,0.0009398496240601295,0.007205513784461104,0.0015943877551021224,True,stage18-scaling-24a9adb84176,2,3,7450,296
s2-step7450-f9of10-d1of2,296,C1,C5,0.01231148045552477,Q1,0.01231148045552477,0.006892230576441061,0.005325814536340845,0.0022321428571427937,True,stage18-scaling-24a9adb84176,2,3,7450,296
s2-step7450-f9of10-d1of2,296,C1,C6,0.010964912280701733,Q2,0.00800246229609114,0.010964912280701733,0.003759398496240629,0.009885204081632626,True,stage18-scaling-24a9adb84176,2,3,7450,296
