cell_index,cell_id,requested_member_index,member_label,accepted_circuit,representative_restart_index,primary_fidelity,retained_component_count,retained_component_proportion,maximum_prior_overlap_numerator,maximum_prior_overlap_denominator,maximum_prior_overlap,mean_prior_overlap,cumulative_exact_evaluations,member_exact_evaluations,member_ranking_passes,restart_count,status,failure_reason,family_right_censored,search_execution_mode,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
43,s0-step7450-f9of10-d1of4,3,C3,True,0,0.9010102592215522,59,0.11434108527131782,18,95,0.18947368421052632,0.18327850877192983,22263,7371,458,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,43
43,s0-step7450-f9of10-d1of4,4,C4,True,0,0.9064922860051687,59,0.11434108527131782,18,95,0.18947368421052632,0.16259683863123156,29634,7371,458,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,43
43,s0-step7450-f9of10-d1of4,5,C5,False,1,1.0,355,,51,358,0.1424581005586592,,39634,10000,623,2,budget_exhaustion,requested_member_5_budget_exhaustion,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,43
44,s0-step7450-f9of10-d1of2,1,C1,True,0,0.9073537473568799,54,0.10465116279069768,0,1,0.0,,7446,7446,463,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,2,C2,True,0,0.9076670060302294,54,0.10465116279069768,17,91,0.18681318681318682,0.18681318681318682,14892,7446,463,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,3,C3,True,0,0.9010102592215522,59,0.11434108527131782,18,95,0.18947368421052632,0.18327850877192983,22263,7371,458,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,4,C4,True,0,0.9064922860051687,59,0.11434108527131782,18,95,0.18947368421052632,0.16259683863123156,29634,7371,458,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,5,C5,True,0,0.9064922860051687,56,0.10852713178294573,5,17,0.29411764705882354,0.2241049344332518,37050,7416,461,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,6,C6,True,0,0.9039079019500352,56,0.10852713178294573,14,41,0.34146341463414637,0.254958696340295,44466,7416,461,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,7,C7,False,0,0.9999216853316626,171,,37,188,0.19680851063829788,,50000,5534,346,1,budget_exhaustion,requested_member_7_budget_exhaustion,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,44
45,s0-step7450-f9of10-d3of4,1,C1,True,0,0.9073537473568799,54,0.10465116279069768,0,1,0.0,,7446,7446,463,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,45
45,s0-step7450-f9of10-d3of4,2,C2,True,0,0.9076670060302294,54,0.10465116279069768,17,91,0.18681318681318682,0.18681318681318682,14892,7446,463,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,45
45,s0-step7450-f9of10-d3of4,3,C3,True,0,0.9010102592215522,59,0.11434108527131782,18,95,0.18947368421052632,0.18327850877192983,22263,7371,458,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,45
45,s0-step7450-f9of10-d3of4,4,C4,True,0,0.9064922860051687,59,0.11434108527131782,18,95,0.18947368421052632,0.16259683863123156,29634,7371,458,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,45
45,s0-step7450-f9of10-d3of4,5,C5,True,0,0.9064922860051687,56,0.10852713178294573,5,17,0.29411764705882354,0.2241049344332518,37050,7416,461,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,45
45,s0-step7450-f9of10-d3of4,6,C6,True,0,0.9039079019500352,56,0.10852713178294573,14,41,0.34146341463414637,0.254958696340295,44466,7416,461,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,45
45,s0-step7450-f9of10-d3of4,7,C7,False,0,0.9999216853316626,171,,37,188,0.19680851063829788,,50000,5534,346,1,budget_exhaustion,requested_member_7_budget_exhaustion,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,45
46,s0-step7450-f19of20-d1of4,1,C1,True,0,0.9502701856057639,60,0.11627906976744186,0,1,0.0,,7356,7356,457,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,46
46,s0-step7450-f19of20-d1of4,2,C2,True,0,0.9526979403242227,67,0.1298449612403101,14,113,0.12389380530973451,0.12389380530973451,14607,7251,450,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,46
46,s0-step7450-f19of20-d1of4,3,C3,True,0,0.9516015349674994,62,0.12015503875968993,23,99,0.23232323232323232,0.1819510898458267,21949,7342,455,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,46
46,s0-step7450-f19of20-d1of4,4,C4,False,1,1.0,351,,43,368,0.11684782608695653,,31949,10000,623,2,budget_exhaustion,requested_member_4_budget_exhaustion,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,46
47,s0-step7450-f19of20-d1of2,1,C1,True,0,0.9502701856057639,60,0.11627906976744186,0,1,0.0,,7356,7356,457,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,47
47,s0-step7450-f19of20-d1of2,2,C2,True,0,0.9526979403242227,67,0.1298449612403101,14,113,0.12389380530973451,0.12389380530973451,14607,7251,450,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,47
47,s0-step7450-f19of20-d1of2,3,C3,True,0,0.9516015349674994,62,0.12015503875968993,23,99,0.23232323232323232,0.1819510898458267,21949,7342,455,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,47
47,s0-step7450-f19of20-d1of2,4,C4,True,0,0.9516798496358367,60,0.11627906976744186,5,19,0.2631578947368421,0.2160985031385804,29305,7356,457,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,47
